Word,Freq,Freq(%)
quarrel,9,0.011247189,
queen,9,0.011247189,
rushed,9,0.011247189,
science,9,0.011247189,
secrets,9,0.011247189,
shaking,9,0.011247189,
showed,9,0.011247189,
shrill,9,0.011247189,
shrugged,9,0.011247189,
sofa,9,0.011247189,
spent,9,0.011247189,
stir,9,0.011247189,
study,9,0.011247189,
thomas,9,0.011247189,
turn,9,0.011247189,
turning,9,0.011247189,
wall,9,0.011247189,
watching,9,0.011247189,
water,9,0.011247189,
winter,9,0.011247189,
wondering,9,0.011247189,
wotton,9,0.011247189,
younger,9,0.011247189,
added,8,0.0099975,
among,8,0.0099975,
anybody,8,0.0099975,
appearance,8,0.0099975,
awfully,8,0.0099975,
bed,8,0.0099975,
books,8,0.0099975,
bored,8,0.0099975,
brown,8,0.0099975,
burning,8,0.0099975,
choice,8,0.0099975,
coffee,8,0.0099975,
colours,8,0.0099975,
confess,8,0.0099975,
confession,8,0.0099975,
creature,8,0.0099975,
creeping,8,0.0099975,
dangerous,8,0.0099975,
dawn,8,0.0099975,
destroyed,8,0.0099975,
dreams,8,0.0099975,
dust,8,0.0099975,
eighteen,8,0.0099975,
emotions,8,0.0099975,
examined,8,0.0099975,
fascination,8,0.0099975,
follow,8,0.0099975,
four,8,0.0099975,
free,8,0.0099975,
french,8,0.0099975,
grass,8,0.0099975,
handkerchief,8,0.0099975,
hubbard,8,0.0099975,
isn,8,0.0099975,
jew,8,0.0099975,
kelso,8,0.0099975,
knock,8,0.0099975,
letters,8,0.0099975,
listlessly,8,0.0099975,
longer,8,0.0099975,
meant,8,0.0099975,
missed,8,0.0099975,
misshapen,8,0.0099975,
mock,8,0.0099975,
moods,8,0.0099975,
moon,8,0.0099975,
move,8,0.0099975,
mystery,8,0.0099975,
nine,8,0.0099975,
none,8,0.0099975,
paint,8,0.0099975,
pallid,8,0.0099975,
passionate,8,0.0099975,
pearls,8,0.0099975,
piano,8,0.0099975,
places,8,0.0099975,
poison,8,0.0099975,
polished,8,0.0099975,
position,8,0.0099975,
possible,8,0.0099975,
purity,8,0.0099975,
quarter,8,0.0099975,
refuse,8,0.0099975,
remain,8,0.0099975,
remarked,8,0.0099975,
repeated,8,0.0099975,
ruin,8,0.0099975,
run,8,0.0099975,
scandal,8,0.0099975,
scenes,8,0.0099975,
seated,8,0.0099975,
several,8,0.0099975,
short,8,0.0099975,
shoulder,8,0.0099975,
simple,8,0.0099975,
singleton,8,0.0099975,
somewhere,8,0.0099975,
sorrows,8,0.0099975,
square,8,0.0099975,
stepped,8,0.0099975,
steps,8,0.0099975,
stretched,8,0.0099975,
strong,8,0.0099975,
theory,8,0.0099975,
thirty,8,0.0099975,
train,8,0.0099975,
tremulous,8,0.0099975,
tried,8,0.0099975,
twice,8,0.0099975,
ugly,8,0.0099975,
unconscious,8,0.0099975,
vanity,8,0.0099975,
view,8,0.0099975,
wait,8,0.0099975,
wants,8,0.0099975,
wicked,8,0.0099975,
wore,8,0.0099975,
